name,domains,web_pages,country,alpha_two_code,state-province
European Business School,['ebs-paris.com'],['http://www.ebs-paris.com/'],France,FR,
Ecole Catholique d'Arts & Metiers,['ecam.fr'],['http://www.ecam.fr/'],France,FR,
Ecole Centrale d'Electronique - ECE,['ece.fr'],['http://www.ece.fr/'],France,FR,
IMT Atlantique,['imt-atlantique.net'],['https://www.imt-atlantique.fr/'],France,FR,
Ecole Centrale de Lille,['ec-lille.fr'],['http://www.ec-lille.fr/'],France,FR,
Ecole Centrale de Lyon,['ec-lyon.fr'],['http://www.ec-lyon.fr/'],France,FR,
Ecole Centrale de Nantes,['ec-nantes.fr'],['http://www.ec-nantes.fr/'],France,FR,
Ecole Centrale de Marseille,['centrale-marseille.fr'],['https://www.centrale-marseille.fr/'],France,FR,
IDRAC (Institut de recherche en action commerciale),['ecoles-idrac.com'],['http://www.ecoles-idrac.com/'],France,FR,
Ecole des Hautes Etudes Commerciales du Nord,['edu.edhec.com'],['http://edu.edhec.com/'],France,FR,
Ecole pour les Etudes et la Recherche en Informatique et Electronique,['eerie.fr'],['http://www.eerie.fr/'],France,FR,
Ecole Française de Papeterie et des Industries Graphiques,['efpg.inpg.fr'],['http://www.efpg.inpg.fr/'],France,FR,
Ecole Française d'Electronique et d'Informatique,['efrei.fr'],['http://www.efrei.fr/'],France,FR,
Ecole des Ingénieurs de la Ville de Paris,['eivp-paris.fr'],['http://www.eivp-paris.fr/'],France,FR,
European Management Center Paris,['emc-campus.com'],['http://www.emc-campus.com/'],France,FR,
Ecole Supérieure de Commerce de Lyon,['em-lyon.com'],['http://www.em-lyon.com/'],France,FR,
Ecole Nationale Supérieure des Mines de St-Etienne,['emse.fr'],['http://www.emse.fr/'],France,FR,
Ecole Nationale de l'Aviation Civile,['enac.fr'],['http://www.enac.fr/'],France,FR,
Ecole Nationale d'Administration,['ena.fr'],['http://www.ena.fr/'],France,FR,
ENIC Telecom Lille 1,['enic.fr'],['http://www.enic.fr/'],France,FR,
Ecole Nationale d'Ingénieurs de Metz,['enim.fr'],['http://www.enim.fr/'],France,FR,
Ecole Nationale d'Ingénieurs de Saint-Etienne,['enise.fr'],['http://www.enise.fr/'],France,FR,
Ecole Nationale d'Ingénieurs des Travaux Agricoles de Bordeaux,['enitab.fr'],['http://www.enitab.fr/'],France,FR,
Ecole Nationale d'Ingénieurs des Travaux Agricoles de Clermont-Ferrand,['enitac.fr'],['http://www.enitac.fr/'],France,FR,
Ecole Nationale d'Ingénieurs de Tarbes,['enit.fr'],['http://www.enit.fr/'],France,FR,
Ecole Nationale d'Ingénieurs des Techniques des Industries Agricoles et Alimentaires,['enitiaa-nantes.fr'],['http://www.enitiaa-nantes.fr/'],France,FR,
Ecole Nationale de la Météorologie,['enm.meteo.fr'],['http://www.enm.meteo.fr/'],France,FR,
Ecole Nationale des Ponts et Chausees,['enpc.fr'],['http://www.enpc.fr/'],France,FR,
Ecole Nationale Supérieur de Mécaniques et des Microtechniques,['ens2m.fr'],['http://www.ens2m.fr/'],France,FR,
Ecole Nationale de la Statistique et de l'Administration Economique,['ensae.fr'],['http://www.ensae.fr/'],France,FR,
Ecole Nationale Supérieure d'Agronomie et des Industries Alimentaires,['ensaia.u-nancy.fr'],['http://www.ensaia.u-nancy.fr/'],France,FR,
Ecole Nationale de la Statistique et de l'Analyse de l'information,['ensai.fr'],['http://www.ensai.fr/'],France,FR,
Ecole Nationale Supérieure des Arts et Industries Textiles,['ensait.fr'],['http://www.ensait.fr/'],France,FR,
Ecole Nationale Supérieure d'Agronomie de Montpellier,['ensam.inra.fr'],['http://www.ensam.inra.fr/'],France,FR,
Ecole Nationale Supérieure Agronomique de Toulouse,['ensat.fr'],['http://www.ensat.fr/'],France,FR,
École normale supérieure Paris-Saclay,"['ens-paris-saclay.fr', 'ens-cachan.fr']","['https://ens-paris-saclay.fr/', 'http://www.ens-cachan.fr/']",France,FR,Île-de-France
Ecole Nationale Supérieure de Chimie de Clermont-Ferrand,['ensccf.univ-bpclermont.fr'],['http://ensccf.univ-bpclermont.fr/'],France,FR,
Ecole Nationale Supérieure de Chimie de Lille,['ensc-lille.fr'],['http://www.ensc-lille.fr/'],France,FR,
Ecole Nationale Supérieure de Chimie de Montpellier,['enscm.fr'],['http://www.enscm.fr/'],France,FR,
Ecole Nationale Supérieure de Chimie de Mulhouse,['enscmu.univ-mulhouse.fr'],['http://www.enscmu.univ-mulhouse.fr/'],France,FR,
Ecole Nationale Supérieure de Chimie et de Physique de Bordeaux,['enscpb.u-bordeaux.fr'],['http://www.enscpb.u-bordeaux.fr/'],France,FR,
Ecole Nationale Supérieure de Chimie de Paris,['enscp.jussieu.fr'],['http://www.enscp.jussieu.fr/'],France,FR,
Ecole Nationale Supérieure de Chimie de Rennes,['ensc-rennes.fr'],['http://www.ensc-rennes.fr/'],France,FR,
Ecole Nationale Supérieure de l'Electronique et de ses Applications,['ensea.fr'],['http://www.ensea.fr/'],France,FR,
"Ecole Nationale Supérieure en Electrotechnique, Electronique, Informatique et Hydraulique de Toulouse",['enseeiht.fr'],['http://www.enseeiht.fr/'],France,FR,
Ecole Nationale Supérieure Electricité et Mécanique,['ensem.u-nancy.fr'],['http://www.ensem.u-nancy.fr/'],France,FR,
Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Bordeaux,['enserb.u-bordeaux.fr'],['http://www.enserb.u-bordeaux.fr/'],France,FR,
Ecole Normale Supérieure de Fontenay-Saint Cloud,['ens-fcl.fr'],['http://www.ens-fcl.fr/'],France,FR,
Ecole Normale Supérieure de Paris,['ens.fr'],['http://www.ens.fr/'],France,FR,
Ecole Nationale des Sciences Géographiques,['ensg.ign.fr'],['http://www.ensg.ign.fr/'],France,FR,
Ecole Nationale Supérieur de Géologie de Nancy,['ensg.u-nancy.fr'],['http://www.ensg.u-nancy.fr/'],France,FR,
Ecole Nationale Supérieur d'Ingénieurs de Constructions Aéronautique,['ensica.fr'],['http://www.ensica.fr/'],France,FR,
Ecole Nationale Supérieure des Industries Chimiques de Nancy,['ensic.u-nancy.fr'],['http://www.ensic.u-nancy.fr/'],France,FR,
Ecole Nationale Supérieur des Ingénieur des Etudes et Techniques d'Armement,['ensieta.fr'],['http://www.ensieta.fr/'],France,FR,
Ecole Nationale Supérieure des Industries Textiles de Mulhouse,['ensitm.fr'],['http://www.ensitm.fr/'],France,FR,
Ecole Normale Supérieure de Lyon,['ens-lyon.fr'],['http://www.ens-lyon.fr/'],France,FR,
Ecole Nationale Supérieur de Mécanique et d'Aéronautique,['ensma.fr'],['http://www.ensma.fr/'],France,FR,
Ecole Nationale Supérieure des Mines d'Alès,"['ensm-ales.fr', 'mines-ales.fr', 'mines-ales.org']",['https://www.mines-ales.fr/'],France,FR,
Ecole Nationale Supérieure des Mines de Douai,['ensm-douai.fr'],['http://www.ensm-douai.fr/'],France,FR,
Ecole Nationale Supérieure des Mines de Paris,['ensmp.fr'],['http://www.ensmp.fr/'],France,FR,
Ecole Nationale Supérieure de Physique de Marseille,['enspm.u-3mrs.fr'],['http://www.enspm.u-3mrs.fr/'],France,FR,
Ecole Nationale Supérieure de Techniques Avancées,['ensta.fr'],['http://www.ensta.fr/'],France,FR,
Ecole Nationale Supérieure des Telecommunications de Bretagne,['enst-bretagne.fr'],['http://www.enst-bretagne.fr/'],France,FR,
Ecole Nationale Supérieure des Telecommunications de Paris,['enst.fr'],['http://www.enst.fr/'],France,FR,
Ecole Nationale des Travaux Publics de l'Etat,['entpe.fr'],['http://www.entpe.fr/'],France,FR,
Ecole Nationale Vétérinaire de Toulouse,['envt.fr'],['http://www.envt.fr/'],France,FR,
EPF Ecole d'Ingénieurs,['epf.fr'],['http://www.epf.fr/'],France,FR,
Ecole Supérieure d'Agriculture de Purpan,['esa-purpan.fr'],['http://www.esa-purpan.fr/'],France,FR,
Ecole Supérieure de Commerce de Bordeaux,['esc-bordeaux.fr'],['http://www.esc-bordeaux.fr/'],France,FR,
Ecole Supérieure de Commerce de Brest,['esc-brest.fr'],['http://www.esc-brest.fr/'],France,FR,
Clermont School of Business,['clermont-sb.fr'],['http://www.clermont-sb.fr/'],France,FR,
Ecole Supérieure de Commerce de Dijon,['escdijon.com'],['http://www.escdijon.com/'],France,FR,
Ecole Supérieure de Commerce et Management,['escem.fr'],['http://www.escem.fr/'],France,FR,
Ecole Supérieure de Commerce de Lille,['esc-lille.fr'],['http://www.esc-lille.fr/'],France,FR,
Ecole Supérieure de Commerce de Marseille-Provence,['esc-marseille.fr'],['http://www.esc-marseille.fr/'],France,FR,
Ecole Supérieure de Commerce de Nantes-Atlantique,['escna.fr'],['http://www.escna.fr/'],France,FR,
Ecole Supérieure de Commerce de Le Havre/Caen,['esc-normandie.fr'],['http://www.esc-normandie.fr/'],France,FR,
Ecole Supérieure de Chimie Organique et Minérale,['escom.fr'],['http://www.escom.fr/'],France,FR,
Ecole Supérieure de Commerce de Pau,['esc-pau.fr'],['http://www.esc-pau.fr/'],France,FR,
Ecole Supérieure de Commerce de Paris,"['escp.fr', 'escp.eu', 'edu.escp.eu']","['http://www.escp.fr/', 'https://escp.eu/']",France,FR,
Ecole Supérieure de Commerce de Reims,['esc-reims.edu'],['http://www.esc-reims.edu/'],France,FR,
Ecole Supérieure de Commerce de Rouen,['esc-rouen.fr'],['http://www.esc-rouen.fr/'],France,FR,
Ecole Supérieure de Commerce de Toulouse,['esc-toulouse.fr'],['http://www.esc-toulouse.fr/'],France,FR,
Ecole Supérieure d'Electronique de l'Ouest,['eseo.fr'],['http://www.eseo.fr/'],France,FR,
Ecole Supérieure Internationale d'Administration des Entreprises,['esiae.fr'],['http://www.esiae.fr/'],France,FR,
Ecole Supérieure d'Informatique-Electronique-Automatique,['esiea.fr'],['http://www.esiea.fr/'],France,FR,
Ecole Supérieure d'Ingénieurs en Electronique et Electrotechnique,['esiee.fr'],['http://www.esiee.fr/'],France,FR,
Ecole Supérieure d'Ingénieurs en Génie Electrique,['esigelec.fr'],['http://www.esigelec.fr/'],France,FR,
Ecole Supérieure d'Ingénieurs de Marseille,['esim.imt-mrs.fr'],['http://esim.imt-mrs.fr/'],France,FR,
Ecole Supérieure d'Ingénieurs et de Techniciens pour l'Agriculture,['esitpa.org'],['http://www.esitpa.org/'],France,FR,
Ecole Spéciale de Mécanique et d'Electricité,['esme.fr'],['http://www.esme.fr/'],France,FR,
Ecole Supérieure de Physique et de Chimie Industrielles,['espci.fr'],['http://www.espci.fr/'],France,FR,
Ecole Supérieure des Sciences Commerciales d'Angers,['essca.asso.fr'],['http://www.essca.asso.fr/'],France,FR,
Ecole Supérieure des Sciences Economiques et Commerciales,['essec.fr'],['http://www.essec.fr/'],France,FR,
Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy,['esstin.u-nancy.fr'],['http://www.esstin.u-nancy.fr/'],France,FR,
Ecole Spéciale des Travaux Publics du Bâtiment et de l'Industrie,['estp.fr'],['http://www.estp.fr/'],France,FR,
Ecole Universitaire d'Ingénieurs de Lille,['eudil.fr'],['http://www.eudil.fr/'],France,FR,
Université Catholique de Lille,['fupl.asso.fr'],['http://www.fupl.asso.fr/'],France,FR,
Grenoble Ecole de Management,"['grenoble-em.com', 'esc-grenoble.fr']",['http://www.grenoble-em.com/'],France,FR,
Ecole Supérieure d'Agriculture d'Angers,['groupe-esa.com'],['http://www.groupe-esa.com/'],France,FR,
École des Hautes Études Commerciales (HEC Business School),"['hec.fr', 'hec.edu']","['http://www.hec.fr/', 'http://www.hec.edu/']",France,FR,
Ecole des Hautes Etudes Industrielles de Lille,['hei.fr'],['http://www.hei.fr/'],France,FR,
Institut Catholique d'Arts et Métiers Lille,['icam.fr'],['http://www.icam.fr/'],France,FR,
Institut Commercial de Nancy,['icn-nancy.com'],['http://www.icn-nancy.com/'],France,FR,
Institut Catholique de Paris,['icp.fr'],['http://www.icp.fr/'],France,FR,
Institut Catholique de Toulouse,['ict-toulouse.asso.fr'],['http://www.ict-toulouse.asso.fr/'],France,FR,
Institut d'Etudes Politiques de Bordeaux,['iep.u-bordeaux.fr'],['http://www.iep.u-bordeaux.fr/'],France,FR,
Ecole Nationale Supérieure du Pétrole et des Monteurs,['ifp.fr'],['http://www.ifp.fr/EC/EC000GP1.html/'],France,FR,
Institut National Polytechnique de Toulouse,['inp-fc.fr'],['http://www.inp-fc.fr/'],France,FR,
Institut National Polytechnique de Lorraine,['inpl-nancy.fr'],['http://www.inpl-nancy.fr/'],France,FR,
Institut National des Sciences Appliquées de Lyon,['insa-lyon.fr'],['http://www.insa-lyon.fr/'],France,FR,
Institut National des Sciences Appliquées de Rennes,['insa-rennes.fr'],['http://www.insa-rennes.fr/'],France,FR,
Institut National des Sciences Appliquées de Rouen,['insa-rouen.fr'],['http://www.insa-rouen.fr/'],France,FR,
Institut National des Sciences Appliquées de Toulouse,['insa-tlse.fr'],['http://www.insa-tlse.fr/'],France,FR,
Institut des hautes études économiques et commerciales,['inseec.fr'],['http://www.inseec.fr/'],France,FR,
Institut National des Télécommunications,['int-evry.fr'],['http://www.int-evry.fr/'],France,FR,
Ecole Supérieure d'Optique,['iota.u-psud.fr'],['http://www.iota.u-psud.fr/~ecole/'],France,FR,
Institut de Recherche et Coordination Acoustique/Musique,['ircam.fr'],['http://www.ircam.fr/'],France,FR,
Institut de Recherche et d'Enseignement Supérieur aux Techniques de l'électronique,['ireste.fr'],['http://www.ireste.fr/'],France,FR,
Institut Supérieur Agricole de Beauvais,['isab.fr'],['http://www.isab.fr/'],France,FR,
Institut Supérieur d'Agriculture Lille,['isa.fupl.asso.fr'],['http://www.isa.fupl.asso.fr/'],France,FR,
Institut Supérieur d'Agriculture Rhone-Alpes,['isara.fr'],['http://www.isara.fr/'],France,FR,
Institut Supérieure d'Electronique du Nord,['isen.fr'],['http://www.isen.fr/'],France,FR,
Institut Supérieure d'Electronique de Paris,['isep.fr'],['http://www.isep.fr/'],France,FR,
Institut des Sciences de l'Ingénieur de Montpellier,['isim.univ-montp2.fr'],['http://www.isim.univ-montp2.fr/'],France,FR,
Centre d'Etudes Supérieures des Techniques Industrielles,['ismcm-cesti.fr'],['http://www.ismcm-cesti.fr/'],France,FR,
Institut des Sciences de la Matière et du Rayonnement,['ismra.fr'],['http://www.ismra.fr/'],France,FR,
Institut Textile et Chimique de Lyon,['itech.fr'],['http://www.itech.fr/'],France,FR,
Sorbonne Université - Faculté des Sciences (Paris VI),"['jussieu.fr', 'etu.upmc.fr', 'upmc.fr', 'etu.sorbonne-universite.fr', 'sorbonne-universite.fr']",['https://sciences.sorbonne-universite.fr/'],France,FR,
Ecole Nationale Supérieure des Mines de Nancy,['mines.u-nancy.fr'],['http://www.mines.u-nancy.fr/'],France,FR,
Université Michel de Montaigne (Bordeaux III ),['montaigne.u-bordeaux.fr'],['http://www.montaigne.u-bordeaux.fr/'],France,FR,
Université Montesquieu (Bordeaux IV),['montesquieu.u-bordeaux.fr'],['http://www.montesquieu.u-bordeaux.fr/'],France,FR,
Ecole d'Architecture de Nancy,['nancy.archi.fr'],['http://www.nancy.archi.fr/'],France,FR,
Université Paris-Sorbonne (Paris IV),['paris4.sorbonne.fr'],['http://www.paris4.sorbonne.fr/'],France,FR,
Ecole Nationale Supérieure d'Arts et Métiers de Paris,['paris.ensam.fr'],['http://www.paris.ensam.fr/'],France,FR,
Ecole Polytechnique Universitaire de Lille,['polytech-lille.fr'],['http://www.polytech-lille.fr/'],France,FR,
Ecole Polytechnique Marseille,['polytech-marseille.fr'],['http://www.polytech-marseille.fr/'],France,FR,
École Polytechnique,"['polytechnique.fr', 'polytechnique.edu']","['http://www.polytechnique.fr/', 'https://www.polytechnique.edu/']",France,FR,
"Schiller International University, Paris",['schillerparis.com'],['http://www.schillerparis.com/'],France,FR,
"Schiller International University, Strasbourg",['schillerstrasbourg.com'],['http://www.schillerstrasbourg.com/'],France,FR,
Institut d'Etudes Politiques de Paris (Sciences Po),"['sciences-po.fr', 'sciencespo.fr']",['http://www.sciences-po.fr/'],France,FR,
Université Denis Diderot (Paris VII),['sigu7.jussieu.fr'],['http://www.sigu7.jussieu.fr/'],France,FR,
Ecole Superieure Robert de Sorbon,['sorbon.fr'],['http://www.sorbon.fr/'],France,FR,
Ecole Nationale Supérieure de l'Aéronautique et de l'Espace,['supaero.fr'],['http://www.supaero.fr/'],France,FR,
Groupe Sup de Co Amiens Picardie,['supco-amiens.fr'],['http://www.supco-amiens.fr/'],France,FR,
Groupe Sup de Co Montpellier,['supco-montpellier.fr'],['http://www.supco-montpellier.fr/'],France,FR,
Ecole Supérieure d'Electricité,['supelec.fr'],['http://www.supelec.fr/'],France,FR,
Université d'Aix-Marseille III,['u-3mrs.fr'],['http://www.u-3mrs.fr/'],France,FR,
Université Victor Segalen (Bordeaux II),['u-bordeaux2.fr'],['http://www.u-bordeaux2.fr/'],France,FR,
Université Bourgogne - Franche-Comté,['ubfc.fr'],['http://www.ubfc.fr/'],France,FR,
Université de Cergy-Pontoise,['u-cergy.fr'],['http://www.u-cergy.fr/'],France,FR,
Université d'Auvergne (Clermont-Ferrand I),['u-clermont1.fr'],['http://www.u-clermont1.fr/'],France,FR,
Université Catholique de l' Ouest,['uco.fr'],['http://www.uco.fr/'],France,FR,
Université Grenoble Alpes,"['u-grenoble3.fr', 'univ-grenoble-alpes.fr', 'ujf-grenoble.fr']",['https://www.univ-grenoble-alpes.fr/'],France,FR,
Université Rennes II - Haute-Bretagne,['uhb.fr'],['http://www.uhb.fr/'],France,FR,
Université Henri Poincaré (Nancy I),['uhp-nancy.fr'],['http://www.uhp-nancy.fr/'],France,FR,
Université de Caen Basse Normandie,['unicaen.fr'],['http://www.unicaen.fr/'],France,FR,
Université de Nice-Sophia Antipolis,['unice.fr'],['http://www.unice.fr/'],France,FR,
Université de Limoges,['unilim.fr'],['http://www.unilim.fr/'],France,FR,
Université d'Angers,['univ-angers.fr'],['http://www.univ-angers.fr/'],France,FR,
Université d'Artois,['univ-artois.fr'],['http://www.univ-artois.fr/'],France,FR,
Université d'Avignon,['univ-avignon.fr'],['http://www.univ-avignon.fr/'],France,FR,
Université Blaise Pascal (Clermont-Ferrand II),['univ-bpclermont.fr'],['http://www.univ-bpclermont.fr/'],France,FR,
Université de Bretagne Occidentale,['univ-brest.fr'],['http://www.univ-brest.fr/'],France,FR,
Université Catholique de Lyon,['univ-catholyon.fr'],['http://www.univ-catholyon.fr/'],France,FR,
Université de Corse Pascal Paoli,['univ-corse.fr'],['http://www.univ-corse.fr/'],France,FR,
Université d'Evry Val d'Essonne,['univ-evry.fr'],['http://www.univ-evry.fr/'],France,FR,
Ecole Nationale Supérieure de Chimie de Toulouse,['univ-inpt.fr'],['http://www.univ-inpt.fr/~ensct/'],France,FR,
Université du Havre,['univ-lehavre.fr'],['http://www.univ-lehavre.fr/'],France,FR,
Université du Maine,['univ-lemans.fr'],['http://www.univ-lemans.fr/'],France,FR,
Université des Sciences et Technologies de Lille (Lille I),['univ-lille1.fr'],['http://www.univ-lille1.fr/'],France,FR,
Université du Droit et de la Sante (Lille II),['univ-lille2.fr'],['http://www.univ-lille2.fr/'],France,FR,
Université Charles-de-Gaulle (Lille III),['univ-lille3.fr'],['http://www.univ-lille3.fr/'],France,FR,
Université du Littoral Cote d'Opale,['univ-littoral.fr'],['http://www.univ-littoral.fr/'],France,FR,
Université de Lorraine,['univ-lorraine.fr'],['http://www.univ-lorraine.fr/'],France,FR,
Université de La Rochelle,['univ-lr.fr'],['http://www.univ-lr.fr/'],France,FR,
Université Claude Bernard (Lyon I),['univ-lyon1.fr'],['http://www.univ-lyon1.fr/'],France,FR,
Université Lumiére (Lyon II),['univ-lyon2.fr'],['http://www.univ-lyon2.fr/'],France,FR,
Université Jean Moulin (Lyon III),['univ-lyon3.fr'],['http://www.univ-lyon3.fr/'],France,FR,
Université de la Méditerranée (Aix Marseille II),['univmed.fr'],['http://www.univmed.fr/'],France,FR,
Université de Metz,['univ-metz.fr'],['http://www.univ-metz.fr/'],France,FR,
Université Paris-Est Marne-la-Vallée,"['univ-mlv.fr', 'u-pem.fr', 'etud.u-pem.fr']","['http://www.univ-mlv.fr/', 'http://www.u-pem.fr/']",France,FR,
Université de Montpellier,"['univ-montp1.fr', 'univ-montp2.fr', 'umontpellier.fr']",['https://www.umontpellier.fr/'],France,FR,
Université Paul Valéry (Montpellier III),['univ-montp3.fr'],['http://www.univ-montp3.fr/'],France,FR,
Université de Haute-Alsace,"['univ-mulhouse.fr', 'uha.fr']","['http://www.univ-mulhouse.fr/', 'https://www.uha.fr/']",France,FR,
Université Nancy II,['univ-nancy2.fr'],['http://www.univ-nancy2.fr/'],France,FR,
Université de Nantes,['univ-nantes.fr'],['http://www.univ-nantes.fr/'],France,FR,
Université d'Orléans,['univ-orleans.fr'],['http://www.univ-orleans.fr/'],France,FR,
Université Val-de-Marne (Paris XII),['univ-paris12.fr'],['http://www.univ-paris12.fr/'],France,FR,
Université Paris Nord (Paris XIII),['univ-paris13.fr'],['http://www.univ-paris13.fr/'],France,FR,
Université Panthéon-Sorbonne (Paris I),['univ-paris1.fr'],['http://www.univ-paris1.fr/'],France,FR,
Université Sorbonne-Nouvelle (Paris III),['univ-paris3.fr'],['http://www.univ-paris3.fr/'],France,FR,
Université René Descartes (Paris V),['univ-paris5.fr'],['http://www.univ-paris5.fr/'],France,FR,
Université Vincennes Saint-Denis (Paris VIII),['univ-paris8.fr'],['http://www.univ-paris8.fr/'],France,FR,
Université de Pau et des Pays de l'Adour,['univ-pau.fr'],['http://www.univ-pau.fr/'],France,FR,
Université de Perpignan,['univ-perp.fr'],['http://www.univ-perp.fr/'],France,FR,
Université de Poitiers,['univ-poitiers.fr'],['http://www.univ-poitiers.fr/'],France,FR,
Université de Reims Champagne-Ardenne,['univ-reims.fr'],['http://www.univ-reims.fr/'],France,FR,
Université Rennes I,['univ-rennes1.fr'],['http://www.univ-rennes1.fr/'],France,FR,
Université de Rouen - Haute Normandie,['univ-rouen.fr'],['http://www.univ-rouen.fr/'],France,FR,
Université de Savoie,['univ-savoie.fr'],['http://www.univ-savoie.fr/'],France,FR,
Université Jean Monnet,['univ-st-etienne.fr'],['http://www.univ-st-etienne.fr/'],France,FR,
"Université du Sud, Toulon et Var",['univ-tln.fr'],['http://www.univ-tln.fr/'],France,FR,
Université des Sciences Sociales (Toulouse I),['univ-tlse1.fr'],['http://www.univ-tlse1.fr/'],France,FR,
Université de Toulouse-le-Mirail (Toulouse II),['univ-tlse2.fr'],['http://www.univ-tlse2.fr/'],France,FR,
Université de Toulouse-le-Mirail (Toulouse III),['univ-tlse3.fr'],['http://www.univ-tlse3.fr/'],France,FR,
Université de Toulouse,['univ-toulouse.fr'],['http://www.univ-toulouse.fr/'],France,FR,
Université François Rabelais de Tours,['univ-tours.fr'],['http://www.univ-tours.fr/'],France,FR,
Université de Bretagne Sud,['univ-ubs.fr'],['http://www.univ-ubs.fr/'],France,FR,
Université de Valenciennes et du Hainaut-Cambrésis,['univ-valenciennes.fr'],['http://www.univ-valenciennes.fr/'],France,FR,
Université Paris Nanterre (Paris X),['u-paris10.fr'],['http://www.u-paris10.fr/'],France,FR,
Université Panthéon-Assas (Paris II),['u-paris2.fr'],['http://www.u-paris2.fr/'],France,FR,
Université de Picardie Jules-Verne,['u-picardie.fr'],['http://www.u-picardie.fr/'],France,FR,
Université Paul Sabatier (Toulouse III),['ups-tlse.fr'],['http://www.ups-tlse.fr/'],France,FR,
Université Paris Sud (Paris XI),['u-psud.fr'],['http://www.u-psud.fr/'],France,FR,
Université d'Aix-Marseille,['univ-amu.fr'],['http://www.univ-amu.fr/'],France,FR,
Université de Provence (Aix-Marseille I),['up.univ-mrs.fr'],['http://www.up.univ-mrs.fr/'],France,FR,
Université des Sciences Humaines (Strasbourg II),['ushs.u-strasbg.fr'],['http://ushs.u-strasbg.fr/'],France,FR,
Université de Technologie de Belfort Montbéliard,['utbm.fr'],['http://www.utbm.fr/'],France,FR,
Université de Technologie de Compiègne,['utc.fr'],['http://www.utc.fr/'],France,FR,
Université de Technologie de Troyes,['utt.fr'],['http://www.utt.fr/'],France,FR,
Université de Versailles Saint-Quentin-en-Yvelines,['uvsq.fr'],['http://www.uvsq.fr/'],France,FR,
Ecole Nationale Vétérinaire d'Alfort,['vet-alfort.fr'],['http://www.vet-alfort.fr/'],France,FR,
Ecole Nationale Vétérinaire de Lyon,['vet-lyon.fr'],['http://www.vet-lyon.fr/'],France,FR,
Ecole Nationale Vétérinaire de Nantes,['vet-nantes.fr'],['http://www.vet-nantes.fr/'],France,FR,
"Ecole Européenne de Chimie, Polymères et Matériaux de Strasbourg",['www-ecpm.u-strasbg.fr'],['http://www-ecpm.u-strasbg.fr/'],France,FR,
Ecole Nationale du Génie de l'Eau et de l'Environnement de Strasbourg,['www-engees.u-strasbg.fr'],['http://www-engees.u-strasbg.fr/'],France,FR,
Ecole Nationale Supérieure des Arts et Industries de Strasbourg,['www-ensais.u-strasbg.fr'],['http://www-ensais.u-strasbg.fr/'],France,FR,
Institut polytechnique de Grenoble,"['grenoble-inp.fr', 'inpg.fr']","['https://grenoble-inp.fr/', 'https://phelma.grenoble-inp.fr/', 'https://ensimag.grenoble-inp.fr/', 'https://ense3.grenoble-inp.fr/', 'https://esisar.grenoble-inp.fr/', 'https://genie-industriel.grenoble-inp.fr/', 'https://pagora.grenoble-inp.fr/']",France,FR,
Ecole Nationale Supérieure de Physique de Strasbourg,['www-ensps.u-strasbg.fr'],['http://www-ensps.u-strasbg.fr/'],France,FR,
Université Louis Pasteur (Strasbourg I),['www-ulp.u-strasbg.fr'],['http://www-ulp.u-strasbg.fr/'],France,FR,
Université Robert Schuman (Strasbourg III),['www-urs.u-strasbg.fr'],['http://www-urs.u-strasbg.fr/'],France,FR,
Université de Strasbourg,"['unistra.fr', 'etu.unistra.fr', 'dpt-info.u-strasbg.fr']",['https://www.unistra.fr/'],France,FR,
Ecole pour l'Informatique et les nouvelles Technologies,"['epitech.eu', 'epitech.net']",['http://www.epitech.eu/'],France,FR,
Ecole Pour l'Informatique et les Techniques Avancees,['epita.fr'],['http://www.epita.fr/'],France,FR,
Institut polytechnique des sciences avancees,['ipsa.fr'],['http://www.ipsa.fr/'],France,FR,
Ecole des technologies numeriques appliquees,['etna.io'],['http://www.etna.io/'],France,FR,
Institut Sup'Biotech de Paris,['supbiotech.fr'],['http://www.supbiotech.fr/'],France,FR,
IU Internationale Hochschule GmbH,['iubh-fernstudium.de'],['https://www.iu-fernstudium.de/'],Germany,DE,Thuringia
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",['akad.de'],['http://www.akad.de/'],Germany,DE,
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,['asfh-berlin.de'],['http://www.asfh-berlin.de/'],Germany,DE,
Augustana Hochschule Neuendettelsau,['augustana.de'],['http://www.augustana.de/'],Germany,DE,
Kirchliche Hochschule Bethel,['bethel.de'],['http://www.bethel.de/kiho/'],Germany,DE,
BiTS - Business and Information Technology School gGmbH,['bits-iserlohn.de'],['http://www.bits-iserlohn.de/'],Germany,DE,
Cologne Business School,['cbs.de'],['http://www.cbs.de/'],Germany,DE,
CODE University of Applied Sciences Berlin,['code.berlin'],['http://code.berlin/'],Germany,DE,
Deutsche Hochschule für Verwaltungswissenschaften Speyer,['dhv-speyer.de'],['http://www.dhv-speyer.de/'],Germany,DE,
DIPLOMA-Fachhochschule Ölsnitz/Vogtland,['diploma.de'],['http://www.diploma.de/'],Germany,DE,
Deutsche Sporthochschule Köln,['dshs-koeln.de'],['http://www.dshs-koeln.de/'],Germany,DE,
E.A.P. Europäische Wirtschaftshochschule Berlin,['eap.net'],['http://www.eap.net/'],Germany,DE,
